Thornglint Bridge,"['self enter W battlefield tap .', 'indestruct', '{ W } : add { g } W { w } .']"
Bull Elephant,"[""W self enter W battlefield , sacrific W unless W return two forest W control W W owner 's hand .""]"
Horn of Ramos,"['{ W } : add { g } .', 'sacrific self : add { g } .']"
Paladin en-Vec,"['first strike , protect W black W W red']"
Cutthroat Contender,['pay 1 life : self get +1/+0 W end W turn . activ W W W turn .']
Arcane Artisan,"[""{ 2 } { u } , { W } : target player draw W card , W exil W card W W hand . W W creatur card W exil W way , W player creat W token W 's W copi W W card ."", 'W self leav W battlefield , exil W token creat W W W W begin W W next end step .']"
Taunting Elf,['W creatur abl W block self W W .']
Master Skald,"['W self enter W battlefield , W may exil W creatur card W W graveyard . W W W , return target artifact W enchant card W W graveyard W W hand .']"
Blind Phantasm,[]
Thunderscape Battlemage,"['kicker { 1 } { b } and/or { g }', 'W self enter W battlefield , W W W kick W W { 1 } { b } kicker , target player discard two card .', 'W self enter W battlefield , W W W kick W W { g } kicker , destroy target enchant .']"
Fallen Ideal,"['enchant creatur', ""enchant creatur W fli W `` sacrific W creatur : W creatur get +2/+1 W end W turn . ''"", ""W self W put W W graveyard W W battlefield , return self W W owner 's hand .""]"
Plumeveil,"['flash', 'defend , fli']"
Boros Reckoner,"['whenev self W dealt damag , W deal W much damag W W target .', '{ r/w } : self gain first strike W end W turn .']"
Traverse the Ulvenwald,"['search W librari W W basic land card , reveal W , put W W W hand , W shuffl .', 'delirium — W W W four W W card type among card W W graveyard , instead search W librari W W creatur W land card , reveal W , put W W W hand , W shuffl .']"
Diabolic Intent,"['W W addit cost W cast W spell , sacrific W creatur .', 'search W librari W W card , put W card W W hand , W shuffl .']"
Soulless Revival,"['return target creatur card W W graveyard W W hand .', 'splice onto arcan { 1 } { b }']"
Soulscour,['destroy W non-artifact perman .']
"Jiwari, the Earth Aflame","['{ x } { r } , { W } : self deal x damag W target creatur without fli .', 'channel — { x } { r } { r } { r } , discard self : self deal x damag W W creatur without fli .']"
Belbe's Portal,"['W self enter W battlefield , choos W creatur type .', '{ 3 } , { W } : W may put W creatur card W W chosen type W W hand onto W battlefield .']"
Displace,"[""exil W W two target creatur W control , W return W card W W battlefield W W owner 's control .""]"
Rakdos Ringleader,"['first strike', 'whenev self deal combat damag W W player , W player discard W card W random .', '{ b } : regener self .']"
Rapid Hybridization,"[""destroy target creatur . W ca n't W regener . W creatur 's control creat W 3/3 green frog lizard creatur token .""]"
"Arlinn Kord // Arlinn, Embraced by the Moon",[]
Azorius Aethermage,"['whenev W perman W return W W hand , W may pay { 1 } . W W W , draw W card .']"
Keeper of the Dead,"['{ b } , { W } : choos target oppon W W W least two fewer creatur card W W graveyard W W W W W activ W abil . destroy target non-black creatur W player control .']"
Panic Attack,"[""W W three target creatur ca n't block W turn .""]"
Stoic Champion,"['whenev W player cycl W card , self get +2/+2 W end W turn .']"
Duelcraft Trainer,"['first strike', 'coven — W W begin W combat W W turn , W W control three W W creatur W differ power , target creatur W control gain doubl strike W end W turn .']"
Decimator Beetle,"['W self enter W battlefield , put W -1/-1 counter W target creatur W control .', 'whenev self attack , remov W -1/-1 counter W target creatur W control W put W -1/-1 counter W W W one target creatur defend player control .']"
Poison Arrow,['destroy target non-black creatur . W gain 3 life .']
Corpse Churn,"['mill three card , W W may return W creatur card W W graveyard W W hand .']"
The Biblioplex,"['{ W } : add { c } .', ""{ 2 } , { W } : look W W top card W W librari . W W 's W instant W sorceri card , W may reveal W W put W W W hand . W W W n't put W card W W hand , W may put W W W graveyard . activ W W W W exactli zero W seven card W hand .""]"
Benalish Emissary,"['kicker { 1 } { g }', 'W self enter W battlefield , W W W kick , destroy target land .']"
Knights' Charge,"['whenev W knight W control attack , W oppon lose 1 life W W gain 1 life .', '{ 6 } { w } { b } , sacrific self : return W knight creatur card W W graveyard W W battlefield .']"
Petrahydrox,"['', ""W self becom W target W W spell W abil , return self W W owner 's hand .""]"
Divine Smite,"['target creatur W planeswalk W oppon control phase W . W W perman W black , exil W instead .']"
Ghoulsteed,"['{ 2 } { b } , discard two card : return self W W graveyard W W battlefield tap .']"
Defense of the Heart,"['W W begin W W upkeep , W W oppon control three W W creatur , sacrific self , search W librari W W W two creatur card , put W card onto W battlefield , W shuffl .']"
Kodama of the Center Tree,"[""self 's power W tough W W equal W W number W spirit W control ."", 'self W soulshift x , W x W W number W spirit W control .']"
Certain Death,['destroy target creatur . W control lose 2 life W W gain 2 life .']
Hero's Blade,"['equip creatur get +3/+2 .', 'whenev W legendari creatur enter W battlefield W W control , W may attach self W W .', 'equip { 4 }']"
Blessed Wine,"['W gain 1 life .', ""draw W card W W begin W W next turn 's upkeep .""]"
Plague Dogs,"['W self die , W creatur get -1/-1 W end W turn .', '{ 2 } , sacrific self : draw W card .']"
Antagonism,"[""W W begin W W player 's end step , self deal 2 damag W W player unless one W W oppon W dealt damag W turn .""]"
Wild Celebrants,"['W self enter W battlefield , W may destroy target artifact .']"
Incite,['target creatur becom red W end W turn W attack W turn W abl .']
Torch Song,"['W W begin W W upkeep , W may put W vers counter W self .', '{ 2 } { r } , sacrific self : W deal x damag W W target , W x W W number W vers counter W self .']"
Harper Recruiter,"['fli', 'whenev self attack , look W W top four card W W librari . W may reveal W cleric card , W rogu card , W warrior card , and/or W wizard card W among W W put W card W W hand . put W rest W W bottom W W librari W W random order .']"
Manor Gargoyle,"['defend', 'self W indestruct W long W W W defend .', '{ 1 } : W end W turn , self lose defend W gain fli .']"
Daxos of Meletis,"[""self ca n't W block W creatur W power 3 W greater ."", ""whenev self deal combat damag W W player , exil W top card W W player 's librari . W gain life equal W W card 's mana valu . W end W turn , W may cast W card W W may spend mana W though W W mana W W color W cast W spell .""]"
Herald of Torment,"['bestow { 3 } { b } { b }', 'fli', 'W W begin W W upkeep , W lose 1 life .', 'enchant creatur get +3/+3 W W fli .']"
Coast Watcher,"['fli , protect W green']"
Malevolent Noble,"['{ 2 } , sacrific W artifact W anoth creatur : put W +1/+1 counter W self .']"
Aggravated Assault,"['{ 3 } { r } { r } : untap W creatur W control . W W main phase , W W W addit combat phase follow W W addit main phase . activ W W W sorceri .']"
Change of Plans,['W W x target creatur W control conniv . W may W W number W W phase W .']
Embereth Paladin,"['hast', 'adam — W W least three red mana W spent W cast W spell , self enter W battlefield W W +1/+1 counter W W .']"
Redcap Melee,"['self deal 4 damag W target creatur W planeswalk . W W non-r perman W dealt damag W way , W sacrific W land .']"
Sideswipe,['W may chang W target W target arcan spell .']
Mask of Law and Grace,"['enchant creatur', 'enchant creatur W protect W black W W red .']"
Omen,"['look W W top three card W W librari , W put W back W W order . W may shuffl .', 'draw W card .']"
Ral's Outburst,['self deal 3 damag W W target . look W W top two card W W librari . put one W W W W hand W W W W W graveyard .']
Irontread Crusher,['crew 3']
Open the Vaults,"[""return W artifact W enchant card W W graveyard W W battlefield W W owner ' control .""]"
Thrill of the Hunt,"['target creatur get +1/+2 W end W turn .', 'flashback { w }']"
Sudden Storm,"[""tap W W two target creatur . W creatur W n't untap W W control ' next untap step . scri 1 .""]"
Littjara Mirrorlake,"['self enter W battlefield tap .', '{ W } : add { u } .', ""{ 2 } { g } { g } { u } , { W } , sacrific self : creat W token W 's W copi W target creatur W control , except W enter W battlefield W W addit +1/+1 counter W W . activ W W W sorceri .""]"
Arborea Pegasus,"['fli', 'W self enter W battlefield , target creatur get +1/+1 W gain fli W end W turn .']"
Chain of Smog,['target player discard two card . W player may copi W spell W may choos W new target W W copi .']
Throes of Chaos,"['cascad', 'retrac']"
Pyre Zombie,"['W W begin W W upkeep , W self W W W graveyard , W may pay { 1 } { b } { b } . W W W , return self W W hand .', '{ 1 } { r } { r } , sacrific self : W deal 2 damag W W target .']"
Dragonshift,"['W end W turn , target creatur W control becom W blue W red dragon W base power W tough 4/4 , lose W abil , W gain fli .', 'overload { 3 } { u } { u } { r } { r }']"
Oraxid,['protect W red']
Renegade Tactics,"[""target creatur ca n't block W turn ."", 'draw W card .']"
Serene Offering,['destroy target enchant . W gain life equal W W mana valu .']
Blighted Bat,"['fli', '{ 1 } : self gain hast W end W turn .']"
Mace of the Valiant,"['equip creatur get +1/+1 W W charg counter W self W W vigil .', 'whenev W creatur enter W battlefield W W control , put W charg counter W self .', 'equip { 3 }']"
Screeching Drake,"['fli', 'W self enter W battlefield , draw W card , W discard W card .']"
Splitting Slime,"['{ 4 } { g } { g } : monstros 3 .', ""W self becom monstrou , creat W token W 's W copi W self .""]"
Solitary Hunter // One of the Pack,[]
Brushwagg,"['whenev self block W becom block , W get -2/+2 W end W turn .']"
Bloodbond Vampire,"['whenev W gain life , put W +1/+1 counter W self .']"
Iona's Judgment,['exil target creatur W enchant .']
Void Grafter,"['devoid', 'flash', 'W self enter W battlefield , anoth target creatur W control gain hexproof W end W turn .']"
Viridescent Wisps,"['target creatur becom green W get +1/+0 W end W turn .', 'draw W card .']"
"Chisei, Heart of Oceans","['fli', 'W W begin W W upkeep , sacrific self unless W remov W counter W W perman W control .']"
Goblin Spelunkers,['mountainwalk']
Catacomb Sifter,"['devoid', ""W self enter W battlefield , creat W 1/1 colorless eldrazi scion creatur token . W W `` sacrific W creatur : add { c } . ''"", 'whenev anoth creatur W control die , scri 1 .']"
Determined Iteration,"['W W begin W combat W W turn , popul . W token creat W way gain hast . sacrific W W W begin W W next end step .']"
Jace's Sanctum,"['instant W sorceri spell W cast cost { 1 } less W cast .', 'whenev W cast W instant W sorceri spell , scri 1 .']"
Boros Battleshaper,"[""W W begin W W combat , W W one target creatur attack W block W combat W abl W W W one target creatur ca n't attack W block W combat .""]"
Storm Skreelix,"['fli', 'instant W sorceri spell W cast cost { 1 } less W cast .', 'whenev W cast W instant W sorceri spell , self get +2/+0 W end W turn .']"
Feral Deceiver,"['{ 1 } : look W W top card W W librari .', ""{ 2 } : reveal W top card W W librari . W W 's W land card , self get +2/+2 W gain trampl W end W turn . activ W W W turn .""]"
Niko Aris,"['W self enter W battlefield , creat x shard token .', ""+1 : W W one target creatur W control ca n't W block W turn . whenev W creatur deal damag W turn , return W W W owner 's hand ."", ""-1 : self deal 2 damag W target tap creatur W W card W 've drawn W turn ."", '-1 : creat W shard token .']"
Kefnet the Mindful,"['fli , indestruct', ""self ca n't attack W block unless W W seven W W card W hand ."", ""{ 3 } { u } : draw W card , W W may return W land W control W W owner 's hand .""]"
Cloudgoat Ranger,"['W self enter W battlefield , creat three 1/1 white kithkin soldier creatur token .', 'tap three untap kithkin W control : self get +2/+0 W gain fli W end W turn .']"
Inferno Hellion,"['trampl', 'W W begin W W end step , W self attack W block W turn , W owner shuffl W W W librari .']"
Mindwrack Harpy,"['fli', 'W W begin W combat W W turn , W player mill three card .']"
No-Dachi,"['equip creatur get +2/+0 W W first strike .', 'equip { 3 }']"
Clone Shell,"['imprint — W self enter W battlefield , look W W top four card W W librari , exil one face W , W put W rest W W bottom W W librari W W order .', ""W self die , turn W exil card face W . W W 's W creatur card , put W onto W battlefield W W control .""]"
"Taigam, Ojutai Master","[""instant , sorceri , W dragon spell W control ca n't W counter ."", 'whenev W cast W instant W sorceri spell W W hand , W self attack W turn , W spell gain rebound .']"
Cabaretti Initiate,['{ 2 } { r/w } : self gain doubl strike W end W turn .']
Archwing Dragon,"['fli , hast', ""W W begin W W end step , return self W W owner 's hand .""]"
Phyrexian War Beast,"['W self leav W battlefield , sacrific W land W self deal 1 damag W W .']"
World-Weary,"['enchant creatur', 'enchant creatur get -4/-4 .', 'basic landcycl { 1 } { b }']"
Talisman of Resilience,"['{ W } : add { c } .', '{ W } : add { b } W { g } . self deal 1 damag W W .']"
Nebelgast Intruder,"['flash', 'fli', 'W self enter W battlefield , W W one target creatur W oppon control get -2/-0 W end W turn .']"
Balduvian Hydra,"['self enter W battlefield W x +1/+0 counter W W .', 'remov W +1/+0 counter W self : prevent W next 1 damag W would W dealt W self W turn .', '{ r } { r } { r } : put W +1/+0 counter W self . activ W W W upkeep .']"
Ruthless Sniper,"['whenev W cycl W discard W card , W may pay { 1 } . W W W , put W -1/-1 counter W target creatur .']"
Magus of the Order,"['{ g } , { W } , sacrific self W anoth green creatur : search W librari W W green creatur card , put W onto W battlefield , W shuffl .']"
Lumberknot,"['hexproof', 'whenev W creatur die , put W +1/+1 counter W self .']"
Ocular Halo,"['enchant creatur', ""enchant creatur W `` { W } : draw W card . ''"", '{ w } : enchant creatur gain vigil W end W turn .']"
Barbarian Lunatic,"['{ 2 } { r } , sacrific self : W deal 2 damag W target creatur .']"
Runaway Carriage,"['trampl', 'W self attack W block , sacrific W W end W combat .']"
Replenish,['return W enchant card W W graveyard W W battlefield .']
Crypt Rats,['{ x } : self deal x damag W W creatur W W player . spend W black mana W x .']
Gonti's Machinations,"['whenev W lose life W W first time W turn , W get { e } .', 'pay { e } { e } , sacrific self : W oppon lose 3 life . W gain life equal W W life lost W way .']"
Sewers of Estark,"[""choos target creatur . W W 's attack , W ca n't W block W turn . W W 's block , prevent W combat damag W would W dealt W combat W W W W creatur W 's block .""]"
Hollowhenge Scavenger,"['morbid — W self enter W battlefield , W W creatur die W turn , W gain 5 life .']"
Academy Researchers,"['W self enter W battlefield , W may put W aura card W W hand onto W battlefield attach W self .']"
Bubbling Muck,"['W end W turn , whenev W player tap W swamp W mana , W player add W addit { b } .']"
Attended Healer,"['whenev W gain life W W first time W turn , creat W 1/1 white cat creatur token .', '{ 2 } { w } : anoth target cleric gain lifelink W end W turn .']"
Reduce // Rubble,[]
Crown of Fury,"['enchant creatur', 'enchant creatur get +1/+0 W W first strike .', 'sacrific self : enchant creatur W W creatur W share W creatur type W W get +1/+0 W gain first strike W end W turn .']"
Scaled Herbalist,['{ W } : W may put W land card W W hand onto W battlefield .']
Unified Will,"[""counter target spell W W control W creatur W W spell 's control .""]"
"Exava, Rakdos Blood Witch","['first strike , hast', 'unleash', 'W W creatur W control W W +1/+1 counter W W W hast .']"
Windborne Charge,['two target creatur W control W get +2/+2 W gain fli W end W turn .']
Vectis Gloves,"['equip creatur get +2/+0 W W artifact landwalk .', 'equip { 2 }']"
Choking Vines,"['cast W spell W W W declar blocker step .', 'x target attack creatur becom block . self deal 1 damag W W W W creatur .']"
Dark Petition,"['search W librari W W card , put W card W W hand , W shuffl .', 'spell masteri — W W W two W W instant and/or sorceri card W W graveyard , add { b } { b } { b } .']"
Soltari Crusader,"['shadow', '{ 1 } { w } : self get +1/+0 W end W turn .']"
Heart-Piercer Manticore,"[""W self enter W battlefield , W may sacrific anoth creatur . W W W , self deal damag equal W W creatur 's power W W target ."", 'embalm { 5 } { r }']"
"Tahngarth, Talruum Hero","['vigil', '{ 1 } { r } , { W } : self deal damag equal W W power W target creatur . W creatur deal damag equal W W power W self .']"
Wanderwine Prophets,"['champion W merfolk', 'whenev self deal combat damag W W player , W may sacrific W merfolk . W W W , take W extra turn W W one .']"
Pulling Teeth,"['clash W W oppon . W W win , target player discard two card . otherwis , W player discard W card .']"
Beastcaller Savant,"['hast', '{ W } : add one mana W W color . spend W mana W W cast W creatur spell .']"
Grip of the Roil,"['surg { 1 } { u }', ""tap target creatur . W W n't untap W W control 's next untap step ."", 'draw W card .']"
Icefall,"['destroy target artifact W land .', 'recov { r } { r }']"
Mists of Littjara,"['flash', 'enchant creatur W vehicl', 'enchant creatur get -3/-0 .']"
Master Healer,['{ W } : prevent W next 4 damag W would W dealt W W target W turn .']
Pyroconvergence,"['whenev W cast W multicolor spell , self deal 2 damag W W target .']"
Ravenous Baboons,"['W self enter W battlefield , destroy target non-bas land .']"
Topan Ascetic,['tap W untap creatur W control : self get +1/+1 W end W turn .']
Shivan Oasis,"['self enter W battlefield tap .', '{ W } : add { r } W { g } .']"
Chancellor of the Tangle,"['W may reveal W card W W open hand . W W W , W W begin W W first main phase , add { g } .', 'vigil , reach']"
Pain's Reward,"['W player may bid life . W start W bid W W bid W W number . W turn order , W player may top W high bid . W bid end W W high bid stand . W high bidder lose life equal W W high bid W draw four card .']"
Arcum's Weathervane,"['{ 2 } , { W } : target snow land W W longer snow .', '{ 2 } , { W } : target non-snow basic land becom snow .']"
Krakilin,"['self enter W battlefield W x +1/+1 counter W W .', '{ 1 } { g } : regener self .']"
Revivify,"['roll W d20 W add W number W creatur card W W graveyard W W put W W W battlefield W turn .', '1—14 | return W creatur card W W graveyard W W put W W W battlefield W turn W W hand .', '15+ | return W card W W graveyard W W battlefield .']"
Trestle Troll,"['defend', 'reach', '{ 1 } { b } { g } : regener self .']"
Rakshasa Debaser,"[""whenev self attack , put target creatur card W defend player 's graveyard onto W battlefield W W control ."", 'encor { 6 } { b } { b }']"
Zodiac Snake,['swampwalk']
Lone Missionary,"['W self enter W battlefield , W gain 4 life .']"
Tamanoa,"['whenev W non-creatur sourc W control deal damag , W gain W much life .']"
Dokuchi Shadow-Walker,['ninjutsu { 3 } { b }']
Steelgaze Griffin,"['fli', 'whenev W draw W second card W turn , self get +2/+0 W end W turn .']"
"Strefan, Maurer Progenitor","['fli', 'W W begin W W end step , creat W blood token W W player W lost life W turn .', 'whenev self attack , W may sacrific two blood token . W W W , W may put W vampir card W W hand onto W battlefield tap W attack . W gain indestruct W end W turn .']"
Titans' Nest,"['W W begin W W upkeep , look W W top card W W librari . W may put W card W W graveyard .', ""exil W card W W graveyard : add { c } . spend W mana W W cast W spell W 's one W W color without { x } W W mana cost .""]"
Ward of Lights,"[""W may cast self W though W W flash . W W cast W W time W sorceri could n't W W cast , W control W W perman W becom sacrific W W W begin W W next cleanup step ."", 'enchant creatur', 'W self enter W battlefield , choos W color .', ""enchant creatur W protect W W chosen color . W effect W n't remov self .""]"
Demon's Grasp,['target creatur get -5/-5 W end W turn .']
Errand of Duty,['creat W 1/1 white knight creatur token W band .']
Standing Stones,"['{ 1 } , { W } , pay 1 life : add one mana W W color .']"
Chameleon Blur,['prevent W damag W creatur would deal W player W turn .']
Panic Spellbomb,"[""{ W } , sacrific self : target creatur ca n't block W turn ."", 'W self W put W W graveyard W W battlefield , W may pay { r } . W W W , draw W card .']"
Ravager Wurm,"['riot', 'W self enter W battlefield , choos W W one —', ""• self fight target creatur W W n't control ."", ""• destroy target land W W activ abil W W n't W mana abil .""]"
Flesh-Eater Imp,"['fli', 'infect', 'sacrific W creatur : self get +1/+1 W end W turn .']"
Patron of the Orochi,"['snake offer', '{ W } : untap W forest W W green creatur . activ W W W turn .']"
Battle Cry Goblin,"['{ 1 } { r } : goblin W control get +1/+0 W gain hast W end W turn .', ""pack tactic — whenev self attack , W W attack W creatur W total power 6 W greater W combat , creat W 1/1 red goblin creatur token W 's tap W attack .""]"
Viscera Dragger,"['cycl { 2 }', 'unearth { 1 } { b }']"
Seize the Initiative,['target creatur get +1/+1 W gain first strike W end W turn .']
Clockwork Steed,"['self enter W battlefield W four +1/+0 counter W W .', ""self ca n't W block W artifact creatur ."", 'W end W combat , W self attack W block W combat , remov W +1/+0 counter W W .', ""{ x } , { W } : put W W x +1/+0 counter W self . W abil ca n't caus W total number W +1/+0 counter W self W W greater W four . activ W W W upkeep .""]"
Trial of Knowledge,"['W self enter W battlefield , draw three card , W discard W card .', ""W W cartouch enter W battlefield W W control , return self W W owner 's hand .""]"
Mangara's Equity,"['W self enter W battlefield , choos black W red .', 'W W begin W W upkeep , sacrific self unless W pay { 1 } { w } .', 'whenev W creatur W W chosen color deal damag W W W W white creatur W control , self deal W much damag W W creatur .']"
Obliterate,"[""W spell ca n't W counter ."", ""destroy W artifact , creatur , W land . W ca n't W regener .""]"
Angelic Wall,"['defend', 'fli']"
Spirit Mirror,"['W W begin W W upkeep , W W W W reflect token W W battlefield , creat W 2/2 white reflect creatur token .', '{ 0 } : destroy target reflect .']"
Triskelavus,"['fli', 'self enter W battlefield W three +1/+1 counter W W .', ""{ 1 } , remov W +1/+1 counter W self : creat W 1/1 colorless triskelavit artifact creatur token W fli . W W `` sacrific W creatur : W creatur deal 1 damag W W target . ''""]"
Distorting Lens,['{ W } : target perman becom W color W W choic W end W turn .']
War Report,['W gain life equal W W number W creatur W W battlefield plu W number W artifact W W battlefield .']
Dauthi Trapper,['{ W } : target creatur gain shadow W end W turn .']
Release the Gremlins,['destroy x target artifact . creat x 2/2 red gremlin creatur token .']
Lowland Giant,[]
Barrin's Spite,"[""choos two target creatur control W W W player . W control choos W sacrific one W W . return W W W W owner 's hand .""]"
Knight of Old Benalia,"['suspend 5— { w }', 'W self enter W battlefield , W creatur W control get +1/+1 W end W turn .']"
Myr Prototype,"['W W begin W W upkeep , put W +1/+1 counter W self .', ""self ca n't attack W block unless W pay { 1 } W W +1/+1 counter W W .""]"
Daggerdrome Imp,"['fli', 'lifelink']"
Fires of Undeath,"['self deal 2 damag W W target .', 'flashback { 5 } { b }']"
Witches' Eye,"[""equip creatur W `` { 1 } , { W } : scri 1 . ''"", 'equip { 1 }']"
Cephalid Constable,"[""whenev self deal combat damag W W player , return W W W mani target perman W player control W W owner 's hand .""]"
Rally the Ancestors,['return W creatur card W mana valu x W less W W graveyard W W battlefield . exil W creatur W W begin W W next upkeep . exil self .']
Andradite Leech,"['black spell W cast cost { b } W W cast .', '{ b } : self get +1/+1 W end W turn .']"
Stormwing Dragon,"['fli , first strike', 'megamorph { 5 } { r } { r }', 'W self W turn face W , put W +1/+1 counter W W W dragon creatur W control .']"
Wandering Stream,['domain — W gain 2 life W W basic land type among land W control .']
Dragonscale General,"['W W begin W W end step , bolster x , W x W W number W tap creatur W control .']"
Doomskar Oracle,"['whenev W cast W second spell W turn , W gain 2 life .', 'foretel { w }']"
Confiscation Coup,"[""choos target artifact W creatur . W get { e } { e } { e } { e } , W W may pay W amount W { e } equal W W perman 's mana valu . W W W , gain control W W .""]"
When We Were Young,"['W W two target creatur W get +2/+2 W end W turn . W W control W artifact W W enchant , W creatur also gain lifelink W end W turn .']"
Sunflare Shaman,"['{ 1 } { r } , { W } : self deal x damag W W target W x damag W W , W x W W number W element card W W graveyard .']"
Golgari Thug,"['W self die , put target creatur card W W graveyard W top W W librari .', 'dredg 4']"
Excavator,"['{ W } , sacrific W basic land : target creatur gain landwalk W W W W land type W W sacrif land W end W turn .']"
Benalish Marshal,['W creatur W control get +1/+1 .']
Lurking Predators,"[""whenev W oppon cast W spell , reveal W top card W W librari . W W 's W creatur card , put W onto W battlefield . otherwis , W may put W card W W bottom W W librari .""]"
Hazoret's Favor,"['W W begin W combat W W turn , W may W target creatur W control get +2/+0 W gain hast W end W turn . W W W , sacrific W W W begin W W next end step .']"
Firebrand Archer,"['whenev W cast W non-creatur spell , self deal 1 damag W W oppon .']"
Star Compass,"['self enter W battlefield tap .', '{ W } : add one mana W W color W W basic land W control could produc .']"
Cogwork Assembler,"[""{ 7 } : creat W token W 's W copi W target artifact . W token gain hast . exil W W W begin W W next end step .""]"
Energy Field,"[""prevent W damag W would W dealt W W W sourc W W n't control ."", 'W W card W put W W graveyard W anywher , sacrific self .']"
Armored Guardian,"['{ 1 } { w } { w } : target creatur W control gain protect W W color W W choic W end W turn .', '{ 1 } { u } { u } : self gain shroud W end W turn .']"
Puresteel Paladin,"['whenev W equip enter W battlefield W W control , W may draw W card .', 'metalcraft — equip W control W equip { 0 } W long W W control three W W artifact .']"
Acidic Dagger,"['{ 4 } , { W } : whenev target creatur deal combat damag W W non-wal creatur W turn , destroy W non-wal creatur . W W target creatur leav W battlefield W turn , sacrific self . activ W W blocker W declar .']"
Mind Over Matter,"['discard W card : W may tap W untap target artifact , creatur , W land .']"
Rise from the Tides,['creat W tap 2/2 black zombi creatur token W W instant W sorceri card W W graveyard .']
Dizzy Spell,"['target creatur get -3/-0 W end W turn .', 'transmut { 1 } { u } { u }']"
Gravebane Zombie,"[""W self would die , put self W top W W owner 's librari instead .""]"
Bioshift,['move W number W +1/+1 counter W target creatur onto anoth target creatur W W W control .']
Ink Dissolver,"['kinship — W W begin W W upkeep , W may look W W top card W W librari . W W share W creatur type W self , W may reveal W . W W W , W oppon mill three card .']"
"Nogi, Draco-Zealot","['dragon spell W cast cost { 1 } less W cast .', 'whenev self attack , W W control three W W dragon , W end W turn , self becom W dragon W base power W tough 5/5 W gain fli .']"
Trained Condor,"['fli', 'whenev self attack , anoth target creatur W control gain fli W end W turn .']"
Hellhole Rats,"['hast', ""W self enter W battlefield , target player discard W card . self deal damag W W player equal W W card 's mana valu .""]"
Veteran's Voice,"['enchant creatur W control', 'tap enchant creatur : target creatur W W W creatur tap W way get +2/+1 W end W turn . activ W W enchant creatur W untap .']"
Captain of the Watch,"['vigil', 'W soldier creatur W control get +1/+1 W W vigil .', 'W self enter W battlefield , creat three 1/1 white soldier creatur token .']"
Tribal Golem,"[""self W trampl W long W W control W beast , hast W long W W control W goblin , first strike W long W W control W soldier , fli W long W W control W wizard , W `` { b } : regener self '' W long W W control W zombi .""]"
Gideon's Intervention,"['W self enter W battlefield , choos W card name .', ""W oppon ca n't cast spell W W chosen name ."", 'prevent W damag W would W dealt W W W perman W control W sourc W W chosen name .']"
Dire Mimic,"['flash', '{ W } , sacrific self : add one mana W W color .', '{ 3 } : self becom W shapeshift artifact creatur W base power W tough 5/5 W end W turn .']"
Test of Talents,"[""counter target instant W sorceri spell . search W control 's graveyard , hand , W librari W W number W card W W W name W W spell W exil W . W player shuffl , W draw W card W W card exil W W hand W way .""]"
"Zhou Yu, Chief Commander","[""self ca n't attack unless defend player control W island .""]"
Wedding Invitation,"['W self enter W battlefield , draw W card .', ""{ W } , sacrific self : target creatur ca n't W block W turn . W W 's W vampir , W also gain lifelink W end W turn .""]"
Stolen Strategy,"[""W W begin W W upkeep , exil W top card W W oppon 's librari . W end W turn , W may cast spell W among W exil card , W W may spend mana W though W W mana W W color W cast W spell .""]"
Scour from Existence,['exil target perman .']
Ephara's Enlightenment,"['enchant creatur', 'W self enter W battlefield , put W +1/+1 counter W enchant creatur .', 'enchant creatur W fli .', ""whenev W creatur enter W battlefield W W control , W may return self W W owner 's hand .""]"
Alchemist's Gift,['target creatur get +1/+1 W gain W choic W deathtouch W lifelink W end W turn .']
Urborg Skeleton,"['kicker { 3 }', '{ b } : regener self .', 'W self W kick , W enter W battlefield W W +1/+1 counter W W .']"
Vampiric Spirit,"['fli', 'W self enter W battlefield , W lose 4 life .']"
Falling Timber,"['kicker—sacrific W land .', 'prevent W combat damag target creatur would deal W turn . W W spell W kick , prevent W combat damag anoth target creatur would deal W turn .']"
Chorus of the Tides,"['fli', 'heroic — whenev W cast W spell W target self , scri 1 .']"
"Glenn, the Voice of Calm","['skulk', 'whenev self deal combat damag W W player , draw card equal W W power .']"
Chant of the Skifsang,"['enchant creatur', 'enchant creatur get -13/-0 .']"
Phantom Centaur,"['protect W black', 'self enter W battlefield W three +1/+1 counter W W .', 'W damag would W dealt W self , prevent W damag . remov W +1/+1 counter W self .']"
Invasive Surgery,"['counter target sorceri spell .', ""delirium — W W W four W W card type among card W W graveyard , search W graveyard , hand , W librari W W spell 's control W W number W card W W W name W W spell , exil W card , W W player shuffl .""]"
Withering Boon,"['W W addit cost W cast W spell , pay 3 life .', 'counter target creatur spell .']"
Jirina Kudro,"[""W self enter W battlefield , creat W 1/1 white human soldier creatur token W W time W 've cast W command W W command zone W game ."", 'W human W control get +2/+0 .']"
Hordewing Skaab,"['fli', 'W zombi W control W fli .', 'whenev one W W zombi W control deal combat damag W one W W W W oppon , W may draw card equal W W number W oppon dealt damag W way . W W W , discard W mani card .']"
Keep Watch,['draw W card W W attack creatur .']
Captain's Hook,"['equip creatur get +2/+0 , W menac , W W W pirat W addit W W W creatur type .', 'whenev self becom unattach W W perman , destroy W perman .', 'equip { 1 }']"
Vile Manifestation,"['self get +1/+0 W W card W cycl W W graveyard .', 'cycl { 2 }']"
Phthisis,"['destroy target creatur . W control lose life equal W W power plu W tough .', 'suspend 5— { 1 } { b }']"
